ItemNo|ItemDescription|Quantity|Price
0000012701|Item 0000012701|908|286.03
0000047128|Item 0000047128|784|999.87
0000010475|Item 0000010475|290|747.24
0000015808|Item 0000015808|232|888.41
0000029434|Item 0000029434|45|28.82
0000045207|Item 0000045207|769|413.37
0000010699|Item 0000010699|883|35.88
0000008315|Item 0000008315|186|854.49
0000003454|Item 0000003454|615|718.15
0000032448|Item 0000032448|243|858.97
0000047272|Item 0000047272|605|474.12
0000033439|Item 0000033439|324|439.41
0000041985|Item 0000041985|841|849.89
0000048909|Item 0000048909|832|642.60
0000004759|Item 0000004759|373|548.75
0000033243|Item 0000033243|716|395.21
0000019943|Item 0000019943|981|342.58
0000034953|Item 0000034953|775|962.88
0000009031|Item 0000009031|305|340.86
0000025334|Item 0000025334|991|844.87
0000038086|Item 0000038086|169|949.07
0000020934|Item 0000020934|85|773.17
0000039877|Item 0000039877|237|948.71
0000041144|Item 0000041144|295|822.89
0000044368|Item 0000044368|955|666.89
0000037786|Item 0000037786|508|358.22
0000005987|Item 0000005987|102|136.01
0000026981|Item 0000026981|904|648.91
0000014261|Item 0000014261|280|759.57
0000035475|Item 0000035475|906|859.72
0000004758|Item 0000004758|792|993.85
0000026928|Item 0000026928|141|607.20
0000038811|Item 0000038811|477|796.39
0000021799|Item 0000021799|972|738.05
0000007234|Item 0000007234|272|577.45
0000021439|Item 0000021439|753|409.70
0000015601|Item 0000015601|282|997.95
0000029971|Item 0000029971|302|509.30
0000034999|Item 0000034999|343|357.11
0000036748|Item 0000036748|850|345.95
0000017345|Item 0000017345|115|978.53
0000023624|Item 0000023624|424|5.21
0000022316|Item 0000022316|272|791.71
0000020512|Item 0000020512|857|771.52
0000008392|Item 0000008392|834|677.98
0000023138|Item 0000023138|12|352.85
0000027094|Item 0000027094|624|159.90
0000039558|Item 0000039558|641|701.09
0000013974|Item 0000013974|227|991.01
0000000818|Item 0000000818|1|831.50
0000000626|Item 0000000626|473|184.32
0000015307|Item 0000015307|992|835.60
0000004367|Item 0000004367|393|73.67
0000045353|Item 0000045353|287|644.40
0000041362|Item 0000041362|771|416.38
0000004034|Item 0000004034|298|522.68
0000039096|Item 0000039096|48|448.52
0000001444|Item 0000001444|454|72.76
0000011738|Item 0000011738|874|19.10
0000037282|Item 0000037282|107|202.42
0000019247|Item 0000019247|379|604.00
0000022673|Item 0000022673|609|85.29
0000020349|Item 0000020349|899|393.53
0000021065|Item 0000021065|49|608.94
0000000710|Item 0000000710|434|648.16
0000005680|Item 0000005680|318|396.51
0000008162|Item 0000008162|19|448.10
0000031341|Item 0000031341|827|355.14
0000000621|Item 0000000621|549|583.52
0000038793|Item 0000038793|189|609.33
0000027241|Item 0000027241|9|625.32
0000045632|Item 0000045632|899|675.19
0000044979|Item 0000044979|429|282.47
0000042871|Item 0000042871|469|999.06
0000015006|Item 0000015006|909|937.45
0000011598|Item 0000011598|235|225.79
0000002226|Item 0000002226|580|816.28
0000002663|Item 0000002663|559|288.81
0000022418|Item 0000022418|212|526.80
0000003430|Item 0000003430|125|6.52
0000004612|Item 0000004612|572|198.84
0000046642|Item 0000046642|254|863.58
0000029112|Item 0000029112|51|766.39
0000028632|Item 0000028632|128|625.31
0000028993|Item 0000028993|818|269.30
0000035181|Item 0000035181|444|986.80
0000018053|Item 0000018053|27|917.43
0000041908|Item 0000041908|31|929.21
0000027529|Item 0000027529|176|302.00
0000006281|Item 0000006281|698|254.83
0000017773|Item 0000017773|926|894.30
0000011114|Item 0000011114|225|725.31
0000047150|Item 0000047150|27|648.15
0000046129|Item 0000046129|51|832.31
0000041295|Item 0000041295|661|888.81
0000019653|Item 0000019653|907|802.77
0000007527|Item 0000007527|240|344.99
0000032847|Item 0000032847|496|351.20
0000012636|Item 0000012636|111|880.16
0000030486|Item 0000030486|128|433.34
0000012660|Item 0000012660|775|561.96
0000046815|Item 0000046815|536|949.10
0000045576|Item 0000045576|33|408.17
0000026473|Item 0000026473|117|917.27
0000049380|Item 0000049380|656|237.65
0000043592|Item 0000043592|351|93.21
0000018243|Item 0000018243|830|360.67
0000010952|Item 0000010952|902|571.29
0000033208|Item 0000033208|479|415.40
0000012864|Item 0000012864|26|909.34
0000039935|Item 0000039935|188|744.20
0000030130|Item 0000030130|722|246.81
0000020052|Item 0000020052|917|594.00
0000021285|Item 0000021285|787|122.25
0000000090|Item 0000000090|226|909.64
0000016920|Item 0000016920|741|845.43
0000039031|Item 0000039031|181|443.01
0000040152|Item 0000040152|400|385.10
0000039349|Item 0000039349|674|576.15
0000004822|Item 0000004822|502|685.43
0000006200|Item 0000006200|347|32.58
0000040392|Item 0000040392|738|133.00
0000047931|Item 0000047931|277|831.49
0000007747|Item 0000007747|219|795.32
0000042754|Item 0000042754|33|4.46
0000000981|Item 0000000981|879|329.40
0000017323|Item 0000017323|757|468.19
0000000720|Item 0000000720|518|984.59
0000010761|Item 0000010761|818|162.11
0000037697|Item 0000037697|346|424.26
0000014990|Item 0000014990|263|762.54
0000045532|Item 0000045532|679|308.63
0000044208|Item 0000044208|612|72.32
0000042919|Item 0000042919|753|513.01
0000005847|Item 0000005847|203|114.06
0000014654|Item 0000014654|37|466.11
0000014799|Item 0000014799|314|460.47
0000019863|Item 0000019863|653|442.67
0000037123|Item 0000037123|742|874.65
0000013790|Item 0000013790|505|322.32
0000031286|Item 0000031286|222|986.07
0000038178|Item 0000038178|719|39.49
0000005393|Item 0000005393|701|802.93
0000000006|Item 0000000006|234|310.43
0000010480|Item 0000010480|395|755.45
0000003668|Item 0000003668|896|531.65
0000001193|Item 0000001193|871|612.35
0000034848|Item 0000034848|697|223.70
0000046419|Item 0000046419|544|76.37
0000012468|Item 0000012468|277|224.56
0000009570|Item 0000009570|243|540.33
0000029457|Item 0000029457|964|767.54
0000047084|Item 0000047084|736|909.01
0000016098|Item 0000016098|244|59.29
0000046507|Item 0000046507|707|663.21
0000046500|Item 0000046500|778|136.42
0000044590|Item 0000044590|621|297.23
0000009829|Item 0000009829|301|436.04
0000025021|Item 0000025021|897|424.18
0000010669|Item 0000010669|134|701.60
0000022154|Item 0000022154|238|137.22
0000019894|Item 0000019894|655|686.58
0000016520|Item 0000016520|966|106.69
0000002253|Item 0000002253|970|370.45
0000009728|Item 0000009728|91|8.49
0000013576|Item 0000013576|184|277.01
0000025509|Item 0000025509|540|496.50
0000002314|Item 0000002314|88|16.90
0000021676|Item 0000021676|302|321.46
0000031631|Item 0000031631|458|855.65
0000005067|Item 0000005067|930|341.94
0000017779|Item 0000017779|156|124.22
0000001634|Item 0000001634|282|785.34
0000036535|Item 0000036535|477|940.34
0000036655|Item 0000036655|293|123.28
0000037809|Item 0000037809|614|600.31
0000001278|Item 0000001278|23|707.29
0000018701|Item 0000018701|448|912.01
0000038379|Item 0000038379|643|214.08
0000049055|Item 0000049055|771|703.86
0000020906|Item 0000020906|19|86.06
0000024605|Item 0000024605|265|137.65
0000001745|Item 0000001745|939|39.73
0000012751|Item 0000012751|174|452.48
0000026275|Item 0000026275|541|699.88
0000012528|Item 0000012528|664|362.27
0000032168|Item 0000032168|478|889.20
0000018908|Item 0000018908|620|616.54
0000041702|Item 0000041702|595|709.96
0000018478|Item 0000018478|212|589.84
0000045767|Item 0000045767|471|347.63
0000008995|Item 0000008995|283|390.74
0000049200|Item 0000049200|641|500.47
0000014877|Item 0000014877|631|123.61
0000007851|Item 0000007851|763|73.64
0000034762|Item 0000034762|200|391.41
0000039732|Item 0000039732|48|151.40
0000040451|Item 0000040451|950|635.14
0000045931|Item 0000045931|63|783.14
0000042187|Item 0000042187|779|9.51
0000020699|Item 0000020699|244|981.57
0000000704|Item 0000000704|483|136.01
0000010257|Item 0000010257|755|450.61
0000020523|Item 0000020523|800|492.24
0000030764|Item 0000030764|255|919.68
0000009719|Item 0000009719|449|121.76
0000036753|Item 0000036753|752|478.11
0000022394|Item 0000022394|799|515.38
0000010627|Item 0000010627|40|171.65
0000021606|Item 0000021606|961|524.46
0000035347|Item 0000035347|476|672.34
0000032036|Item 0000032036|798|126.62
0000008014|Item 0000008014|526|351.78
0000034126|Item 0000034126|951|366.64
0000043104|Item 0000043104|529|51.34
0000001272|Item 0000001272|716|692.40
0000030176|Item 0000030176|75|614.74
0000037912|Item 0000037912|828|745.93
0000029045|Item 0000029045|527|688.85
0000000676|Item 0000000676|683|512.97
0000001461|Item 0000001461|339|110.81
0000029026|Item 0000029026|327|902.69
0000020069|Item 0000020069|362|849.07
0000008608|Item 0000008608|982|376.12
0000012748|Item 0000012748|371|830.13
0000021257|Item 0000021257|532|984.98
0000038796|Item 0000038796|103|609.49
0000010658|Item 0000010658|11|407.17
0000005478|Item 0000005478|957|594.05
0000028929|Item 0000028929|880|871.14
0000038146|Item 0000038146|888|414.11
0000045502|Item 0000045502|991|558.54
0000045143|Item 0000045143|46|835.98
0000022688|Item 0000022688|442|828.75
0000013345|Item 0000013345|992|321.97
0000010551|Item 0000010551|929|454.53
0000017303|Item 0000017303|273|190.07
0000046525|Item 0000046525|545|344.35
0000012971|Item 0000012971|114|859.07
0000003929|Item 0000003929|433|693.66
0000009670|Item 0000009670|102|885.05
0000002632|Item 0000002632|474|126.37
0000037354|Item 0000037354|362|819.07
0000031481|Item 0000031481|828|114.34
0000017206|Item 0000017206|505|386.24
0000004968|Item 0000004968|469|453.86
0000030689|Item 0000030689|170|908.17
0000044894|Item 0000044894|300|279.49
0000038672|Item 0000038672|345|508.70
0000008129|Item 0000008129|446|43.18
0000041608|Item 0000041608|366|759.32
0000046147|Item 0000046147|416|310.07
0000036646|Item 0000036646|438|219.09
0000029811|Item 0000029811|557|156.57
0000009178|Item 0000009178|683|328.75
0000001291|Item 0000001291|5|472.11
0000009366|Item 0000009366|994|224.61
0000026751|Item 0000026751|977|424.84
0000043479|Item 0000043479|62|396.49
0000039949|Item 0000039949|519|366.51
0000048769|Item 0000048769|252|609.91
0000022178|Item 0000022178|519|285.53
0000014458|Item 0000014458|691|619.18
0000027268|Item 0000027268|846|26.26
0000021700|Item 0000021700|370|34.59
0000015000|Item 0000015000|823|39.90
0000021770|Item 0000021770|656|386.90
0000010066|Item 0000010066|139|116.64
0000011791|Item 0000011791|856|922.49
0000022981|Item 0000022981|906|236.49
0000046087|Item 0000046087|712|736.32
0000018991|Item 0000018991|234|253.27
0000028684|Item 0000028684|31|767.34
0000015253|Item 0000015253|28|768.38
0000008863|Item 0000008863|400|53.71
0000041183|Item 0000041183|989|259.20
0000029999|Item 0000029999|91|295.76
0000049263|Item 0000049263|685|717.50
0000011857|Item 0000011857|329|206.50
0000006034|Item 0000006034|722|983.50
0000007885|Item 0000007885|201|766.78
0000018726|Item 0000018726|309|160.69
0000045133|Item 0000045133|266|569.32
0000020978|Item 0000020978|296|864.61
0000026806|Item 0000026806|727|711.37
0000022942|Item 0000022942|890|285.48
0000030322|Item 0000030322|854|822.00
0000044834|Item 0000044834|700|985.79
0000048407|Item 0000048407|60|747.79
0000033453|Item 0000033453|86|523.67
0000014613|Item 0000014613|331|986.29
0000003329|Item 0000003329|453|525.47
0000015360|Item 0000015360|843|175.89
0000044755|Item 0000044755|618|934.43
0000027471|Item 0000027471|733|519.82
0000035751|Item 0000035751|382|803.25
0000011507|Item 0000011507|592|115.17
0000014421|Item 0000014421|950|158.26
0000000194|Item 0000000194|120|134.45
0000004111|Item 0000004111|561|288.73
0000004248|Item 0000004248|654|895.76
0000005392|Item 0000005392|258|772.92
0000007966|Item 0000007966|16|797.88
0000011405|Item 0000011405|987|230.44
0000017118|Item 0000017118|925|649.24
0000024869|Item 0000024869|92|373.25
0000046970|Item 0000046970|588|941.53
0000040284|Item 0000040284|600|150.29
0000019626|Item 0000019626|200|466.47
0000010210|Item 0000010210|630|648.87
0000029535|Item 0000029535|577|887.38
0000011424|Item 0000011424|5|486.43
0000027098|Item 0000027098|849|29.15
0000044355|Item 0000044355|651|885.92
0000017438|Item 0000017438|293|337.86
0000023462|Item 0000023462|254|908.97
0000044884|Item 0000044884|16|794.12
0000032459|Item 0000032459|821|115.84
0000026662|Item 0000026662|325|733.14
0000020932|Item 0000020932|66|453.95
0000033560|Item 0000033560|928|845.25
0000046883|Item 0000046883|76|114.53
0000034702|Item 0000034702|780|791.78
0000021328|Item 0000021328|977|791.11
0000002664|Item 0000002664|934|308.13
0000003025|Item 0000003025|754|645.48
0000043374|Item 0000043374|825|130.80
0000043004|Item 0000043004|996|22.87
0000038707|Item 0000038707|772|570.67
0000030276|Item 0000030276|12|468.37
0000024570|Item 0000024570|584|358.94
0000003066|Item 0000003066|502|333.18
0000025879|Item 0000025879|518|314.16
0000019320|Item 0000019320|206|600.97
0000000204|Item 0000000204|383|228.77
0000047670|Item 0000047670|149|629.80
0000031123|Item 0000031123|793|924.38
0000025897|Item 0000025897|806|676.07
0000030136|Item 0000030136|680|22.78
0000041454|Item 0000041454|907|150.35
0000000165|Item 0000000165|53|200.76
0000000175|Item 0000000175|899|835.21
0000029130|Item 0000029130|698|131.22
0000001951|Item 0000001951|632|42.49
0000037717|Item 0000037717|841|9.76
0000043586|Item 0000043586|941|129.59
0000042529|Item 0000042529|287|499.41
0000035538|Item 0000035538|829|656.40
0000023167|Item 0000023167|66|542.29
0000031511|Item 0000031511|634|696.17
0000029704|Item 0000029704|533|248.81
0000012910|Item 0000012910|944|421.69
0000025718|Item 0000025718|999|923.45
0000014381|Item 0000014381|501|836.76
0000014436|Item 0000014436|398|628.44
0000011973|Item 0000011973|975|980.55
0000041405|Item 0000041405|667|343.72
0000009975|Item 0000009975|512|214.91
0000035752|Item 0000035752|864|595.78
0000035964|Item 0000035964|573|701.63
0000001479|Item 0000001479|75|846.94
0000013837|Item 0000013837|929|551.44
0000018505|Item 0000018505|842|740.71
0000044976|Item 0000044976|606|495.42
0000031767|Item 0000031767|952|824.35
0000048778|Item 0000048778|270|424.91
0000034120|Item 0000034120|531|698.82
0000004737|Item 0000004737|54|377.43
0000047744|Item 0000047744|817|246.94
0000048985|Item 0000048985|284|238.57
0000020129|Item 0000020129|318|580.84
0000012494|Item 0000012494|134|604.59
0000011403|Item 0000011403|832|487.66
0000026128|Item 0000026128|84|520.44
0000010390|Item 0000010390|534|18.80
0000036654|Item 0000036654|509|913.20
0000048375|Item 0000048375|466|244.53
0000010895|Item 0000010895|595|185.87
0000026384|Item 0000026384|620|807.44
0000042473|Item 0000042473|109|401.54
0000049575|Item 0000049575|996|416.97
0000002976|Item 0000002976|939|97.03
0000012667|Item 0000012667|647|322.92
0000037191|Item 0000037191|166|313.27
0000041604|Item 0000041604|11|352.59
0000013118|Item 0000013118|180|959.60
0000016680|Item 0000016680|678|759.17
0000026710|Item 0000026710|323|87.24
0000043995|Item 0000043995|264|259.90
0000016868|Item 0000016868|289|431.91
0000017992|Item 0000017992|639|992.28
0000020077|Item 0000020077|571|621.31
0000027085|Item 0000027085|289|730.77
0000038903|Item 0000038903|703|999.79
0000022437|Item 0000022437|448|565.38
0000017641|Item 0000017641|770|432.18
0000027419|Item 0000027419|4|31.16
0000033535|Item 0000033535|467|513.15
0000012077|Item 0000012077|438|265.69
0000040218|Item 0000040218|329|630.81
0000000895|Item 0000000895|157|249.55
0000048203|Item 0000048203|206|89.20
0000017116|Item 0000017116|313|711.28
0000025873|Item 0000025873|721|926.12
0000006726|Item 0000006726|654|383.32
0000025331|Item 0000025331|431|31.98
0000025426|Item 0000025426|102|198.87
0000032567|Item 0000032567|268|794.20
0000002859|Item 0000002859|74|194.03
0000007135|Item 0000007135|827|314.33
0000009665|Item 0000009665|754|263.23
0000015899|Item 0000015899|176|748.68
0000002613|Item 0000002613|562|599.89
0000034531|Item 0000034531|528|256.16
0000040672|Item 0000040672|395|713.16
0000026138|Item 0000026138|830|63.38
0000012142|Item 0000012142|23|676.10
0000016939|Item 0000016939|672|521.19
0000045667|Item 0000045667|601|921.34
0000014707|Item 0000014707|666|495.21
0000040691|Item 0000040691|3|231.56
0000011848|Item 0000011848|546|130.79
0000035056|Item 0000035056|89|739.16
0000049749|Item 0000049749|616|648.40
0000035001|Item 0000035001|748|889.58
0000026884|Item 0000026884|819|321.32
0000037635|Item 0000037635|788|337.37
0000001407|Item 0000001407|355|603.19
0000019525|Item 0000019525|57|355.11
0000026911|Item 0000026911|160|752.66
0000046143|Item 0000046143|907|729.00
0000007054|Item 0000007054|264|185.59
0000036170|Item 0000036170|818|431.07
0000015251|Item 0000015251|166|708.71
0000042800|Item 0000042800|888|972.40
0000000274|Item 0000000274|386|791.03
0000015741|Item 0000015741|8|525.54
0000004833|Item 0000004833|967|259.00
0000002612|Item 0000002612|480|467.69
0000016973|Item 0000016973|114|462.59
0000014619|Item 0000014619|558|319.73
0000026097|Item 0000026097|413|338.67
0000010381|Item 0000010381|836|631.30
0000046359|Item 0000046359|909|149.79
0000008380|Item 0000008380|728|400.83
0000028155|Item 0000028155|453|381.84
0000032312|Item 0000032312|21|437.90
0000032777|Item 0000032777|270|538.28
0000029548|Item 0000029548|716|233.44
0000006271|Item 0000006271|734|94.88
0000048316|Item 0000048316|385|76.48
0000019150|Item 0000019150|475|394.23
0000018140|Item 0000018140|508|330.37
0000032230|Item 0000032230|426|762.89
0000049311|Item 0000049311|7|690.58
0000008529|Item 0000008529|161|894.25
0000029277|Item 0000029277|907|915.44
0000027135|Item 0000027135|629|140.94
0000021928|Item 0000021928|670|234.33
0000012174|Item 0000012174|355|694.57
0000036401|Item 0000036401|275|281.18
0000009881|Item 0000009881|822|196.69
0000024033|Item 0000024033|83|256.77
0000007137|Item 0000007137|975|33.04
0000039282|Item 0000039282|898|419.60
0000019222|Item 0000019222|808|642.77
0000042197|Item 0000042197|114|299.53
0000009945|Item 0000009945|888|713.66
0000045290|Item 0000045290|464|55.51
0000040862|Item 0000040862|859|954.28
0000026603|Item 0000026603|581|144.07
0000000249|Item 0000000249|596|962.46
0000040162|Item 0000040162|116|714.75
0000028907|Item 0000028907|762|581.89
0000028700|Item 0000028700|191|749.68
0000046241|Item 0000046241|228|351.35
0000014046|Item 0000014046|629|711.18
0000042866|Item 0000042866|895|657.75
0000014182|Item 0000014182|267|353.36
0000047782|Item 0000047782|717|759.50
0000021642|Item 0000021642|181|400.25
0000005269|Item 0000005269|688|739.57
0000022708|Item 0000022708|210|658.39
0000048208|Item 0000048208|241|674.80
0000007269|Item 0000007269|442|813.45
0000035133|Item 0000035133|611|709.17
0000013904|Item 0000013904|860|159.07
0000044693|Item 0000044693|716|216.92
0000005890|Item 0000005890|541|804.49
0000036396|Item 0000036396|316|639.59
0000046918|Item 0000046918|405|214.86
0000008084|Item 0000008084|364|215.27
0000025190|Item 0000025190|217|279.44
0000026496|Item 0000026496|980|940.82
0000040052|Item 0000040052|712|839.80
0000028278|Item 0000028278|701|609.01
0000041709|Item 0000041709|473|405.66
0000033723|Item 0000033723|335|572.48
0000042085|Item 0000042085|291|582.00
0000035909|Item 0000035909|596|166.81
0000017909|Item 0000017909|185|166.03
0000037800|Item 0000037800|236|147.98
0000038059|Item 0000038059|555|92.28
0000000324|Item 0000000324|975|255.73
0000040292|Item 0000040292|942|267.29
0000032790|Item 0000032790|863|410.06
0000023220|Item 0000023220|660|383.74
0000043109|Item 0000043109|241|635.95
0000026694|Item 0000026694|673|782.55
0000048223|Item 0000048223|954|408.27
0000006135|Item 0000006135|405|614.38
0000019155|Item 0000019155|464|702.73
0000032164|Item 0000032164|934|100.43
0000010293|Item 0000010293|595|927.44
0000021074|Item 0000021074|274|919.06
0000010006|Item 0000010006|147|401.84
0000030738|Item 0000030738|460|133.54
0000038143|Item 0000038143|609|834.40
0000035973|Item 0000035973|359|8.47
0000003280|Item 0000003280|69|329.01
0000018663|Item 0000018663|741|984.97
0000008210|Item 0000008210|386|437.01
0000000125|Item 0000000125|209|305.84
0000023149|Item 0000023149|575|665.41
0000010760|Item 0000010760|39|921.15
